"scenario","region","year","age","sex","cardio_deaths","allcause_deaths","pop","n_countries","cardio_mortality_rate","cardio_mortality_rate_100k","allcause_mortality_rate","allcause_mortality_rate_100k","cardio_share"
"SSP5","East Asia & Pacific",2075,"10-14","Female",16.3528352217578,532.208987107385,25646300,20,6.37629413278244e-07,0.0637629413278244,2.07518818350945e-05,2.07518818350945,0.0307263417527714
"SSP5","East Asia & Pacific",2075,"10-14","Male",33.0199086994533,1565.23765237858,27230300,20,1.21261641257912e-06,0.121261641257912,5.74814692595594e-05,5.74814692595594,0.0210957797042994
"SSP5","East Asia & Pacific",2075,"15-19","Female",25.150326046785,604.252736929304,28142200,20,8.93687275578491e-07,0.0893687275578492,2.14714107969279e-05,2.14714107969279,0.0416221963256537
"SSP5","East Asia & Pacific",2075,"15-19","Male",52.3235747837286,1707.00698205552,29871000,20,1.75165125987508e-06,0.175165125987508,5.71459603647525e-05,5.71459603647526,0.0306522324359343
"SSP5","East Asia & Pacific",2075,"20-24","Female",85.7691730558734,2039.37884812155,31656700,20,2.70935293495132e-06,0.270935293495132,6.44217131956758e-05,6.44217131956758,0.042056517912243
"SSP5","East Asia & Pacific",2075,"20-24","Male",216.07889435074,6526.72463939461,33584700,20,6.43384917390181e-06,0.643384917390181,0.000194336249524176,19.4336249524176,0.0331067888242919
"SSP5","East Asia & Pacific",2075,"25-29","Female",147.722930358153,2000.82960870929,35520300,20,4.15883115734249e-06,0.415883115734249,5.63291866540905e-05,5.63291866540905,0.0738308398252097
"SSP5","East Asia & Pacific",2075,"25-29","Male",344.540250840561,4522.06460836181,37674200,20,9.14525725405082e-06,0.914525725405082,0.000120030806450086,12.0030806450086,0.0761909173529868
"SSP5","East Asia & Pacific",2075,"30-34","Female",429.161293956981,3779.74030703591,38587700,20,1.11217122025148e-05,1.11217122025148,9.79519460096328e-05,9.79519460096328,0.113542534432354
"SSP5","East Asia & Pacific",2075,"30-34","Male",1193.43894743117,9941.09228533763,40901700,20,2.91782235807112e-05,2.91782235807112,0.000243048388828279,24.3048388828279,0.12005108826838
"SSP5","East Asia & Pacific",2075,"35-39","Female",681.0845736518,4130.99289724455,40076800,20,1.6994484930229e-05,1.6994484930229,0.000103076914754784,10.3076914754784,0.16487188203739
"SSP5","East Asia & Pacific",2075,"35-39","Male",1568.64014244559,8730.2455694967,42494100,20,3.69143043962713e-05,3.69143043962713,0.000205446063559334,20.5446063559334,0.179678810860302
"SSP5","East Asia & Pacific",2075,"40-44","Female",1435.37106140643,8588.02527282819,41936700,20,3.42270865711042e-05,3.42270865711042,0.000204785433112958,20.4785433112958,0.167136334117207
"SSP5","East Asia & Pacific",2075,"40-44","Male",3696.7278681452,20579.5580019048,44550800,20,8.29778111312299e-05,8.29778111312299,0.000461934645436328,46.1934645436328,0.17963106242627
"SSP5","East Asia & Pacific",2075,"45-49","Female",2135.19551422164,11954.9788603316,44768800,20,4.76938295022793e-05,4.76938295022793,0.000267038179721851,26.7038179721851,0.178603035535808
